,dummyLocation,gpsPerturbated,dumRadMin,dumRadStep,pertDec,alpha,tradeOff
4,False,True,-1,-1,5,0.352,0.648
4,False,True,-1,-1,5,0.354,0.646
4,False,True,-1,-1,5,0.356,0.644
4,False,True,-1,-1,5,0.358,0.642
4,False,True,-1,-1,5,0.36,0.64
4,False,True,-1,-1,5,0.362,0.638
4,False,True,-1,-1,5,0.364,0.636
4,False,True,-1,-1,5,0.366,0.634
4,False,True,-1,-1,5,0.368,0.632
4,False,True,-1,-1,5,0.37,0.63
4,False,True,-1,-1,5,0.372,0.628
4,False,True,-1,-1,5,0.374,0.626
4,False,True,-1,-1,5,0.376,0.624
4,False,True,-1,-1,5,0.378,0.622
4,False,True,-1,-1,5,0.38,0.62
4,False,True,-1,-1,5,0.382,0.618
4,False,True,-1,-1,5,0.384,0.616
4,False,True,-1,-1,5,0.386,0.614
4,False,True,-1,-1,5,0.388,0.612
4,False,True,-1,-1,5,0.39,0.61
4,False,True,-1,-1,5,0.392,0.608
4,False,True,-1,-1,5,0.394,0.606
4,False,True,-1,-1,5,0.396,0.604
4,False,True,-1,-1,5,0.398,0.602
4,False,True,-1,-1,5,0.4,0.6
4,False,True,-1,-1,5,0.402,0.598
4,False,True,-1,-1,5,0.404,0.596
4,False,True,-1,-1,5,0.406,0.594
4,False,True,-1,-1,5,0.408,0.5920000000000001
4,False,True,-1,-1,5,0.41,0.5900000000000001
4,False,True,-1,-1,5,0.412,0.5880000000000001
4,False,True,-1,-1,5,0.414,0.5860000000000001
4,False,True,-1,-1,5,0.416,0.5840000000000001
4,False,True,-1,-1,5,0.418,0.5820000000000001
4,False,True,-1,-1,5,0.42,0.5800000000000001
4,False,True,-1,-1,5,0.422,0.5780000000000001
4,False,True,-1,-1,5,0.424,0.5760000000000001
4,False,True,-1,-1,5,0.426,0.5740000000000001
4,False,True,-1,-1,5,0.428,0.5720000000000001
4,False,True,-1,-1,5,0.43,0.5700000000000001
4,False,True,-1,-1,5,0.432,0.5680000000000001
4,False,True,-1,-1,5,0.434,0.5660000000000001
4,False,True,-1,-1,5,0.436,0.5640000000000001
4,False,True,-1,-1,5,0.438,0.562
4,False,True,-1,-1,5,0.44,0.56
4,False,True,-1,-1,5,0.442,0.558
4,False,True,-1,-1,5,0.444,0.556
4,False,True,-1,-1,5,0.446,0.554
4,False,True,-1,-1,5,0.448,0.552
4,False,True,-1,-1,5,0.45,0.55
4,False,True,-1,-1,5,0.452,0.548
4,False,True,-1,-1,5,0.454,0.546
4,False,True,-1,-1,5,0.456,0.544
4,False,True,-1,-1,5,0.458,0.542
4,False,True,-1,-1,5,0.46,0.54
4,False,True,-1,-1,5,0.462,0.538
4,False,True,-1,-1,5,0.464,0.536
4,False,True,-1,-1,5,0.466,0.534
4,False,True,-1,-1,5,0.468,0.532
4,False,True,-1,-1,5,0.47,0.53
4,False,True,-1,-1,5,0.472,0.528
4,False,True,-1,-1,5,0.474,0.526
4,False,True,-1,-1,5,0.476,0.524
4,False,True,-1,-1,5,0.478,0.522
4,False,True,-1,-1,5,0.48,0.52
4,False,True,-1,-1,5,0.482,0.518
4,False,True,-1,-1,5,0.484,0.516
4,False,True,-1,-1,5,0.486,0.514
4,False,True,-1,-1,5,0.488,0.512
4,False,True,-1,-1,5,0.49,0.51
4,False,True,-1,-1,5,0.492,0.508
4,False,True,-1,-1,5,0.494,0.506
4,False,True,-1,-1,5,0.496,0.504
4,False,True,-1,-1,5,0.498,0.502
4,False,True,-1,-1,5,0.5,0.5
4,False,True,-1,-1,5,0.502,0.498
4,False,True,-1,-1,5,0.504,0.496
4,False,True,-1,-1,5,0.506,0.494
4,False,True,-1,-1,5,0.508,0.492
4,False,True,-1,-1,5,0.51,0.49
4,False,True,-1,-1,5,0.512,0.488
4,False,True,-1,-1,5,0.514,0.486
4,False,True,-1,-1,5,0.516,0.484
4,False,True,-1,-1,5,0.518,0.482
4,False,True,-1,-1,5,0.52,0.48
4,False,True,-1,-1,5,0.522,0.478
4,False,True,-1,-1,5,0.524,0.476
4,False,True,-1,-1,5,0.526,0.474
4,False,True,-1,-1,5,0.528,0.472
4,False,True,-1,-1,5,0.53,0.47
4,False,True,-1,-1,5,0.532,0.46799999999999997
4,False,True,-1,-1,5,0.534,0.46599999999999997
4,False,True,-1,-1,5,0.536,0.46399999999999997
4,False,True,-1,-1,5,0.538,0.46199999999999997
4,False,True,-1,-1,5,0.54,0.45999999999999996
4,False,True,-1,-1,5,0.542,0.45799999999999996
4,False,True,-1,-1,5,0.544,0.45599999999999996
4,False,True,-1,-1,5,0.546,0.45399999999999996
4,False,True,-1,-1,5,0.548,0.45199999999999996
4,False,True,-1,-1,5,0.55,0.44999999999999996
4,False,True,-1,-1,5,0.552,0.44799999999999995
4,False,True,-1,-1,5,0.554,0.44599999999999995
4,False,True,-1,-1,5,0.556,0.44399999999999995
