,dummyLocation,gpsPerturbated,dumRadMin,dumRadStep,pertDec,mse
107,True,True,2000.0,250.0,3.0,1.913404617288947e-06
108,True,True,2000.0,250.0,4.0,1.984773111757866e-06
109,True,True,2000.0,250.0,5.0,1.928923206205465e-06
110,True,True,2000.0,500.0,1.0,6.179189451174099e-06
111,True,True,2000.0,500.0,2.0,1.9292491537409035e-06
112,True,True,2000.0,500.0,3.0,2.2639605807735617e-06
113,True,True,2000.0,500.0,4.0,2.277732601229549e-06
114,True,True,2000.0,500.0,5.0,2.229579455003218e-06
115,True,True,2000.0,750.0,1.0,6.452591580844661e-06
116,True,True,2000.0,750.0,2.0,1.922574536794532e-06
117,True,True,2000.0,750.0,3.0,2.427801621187385e-06
118,True,True,2000.0,750.0,4.0,2.4374598183205085e-06
119,True,True,2000.0,750.0,5.0,2.469304837584893e-06
120,True,True,2000.0,1000.0,1.0,8.035182603282857e-06
121,True,True,2000.0,1000.0,2.0,1.7734374864212878e-06
122,True,True,2000.0,1000.0,3.0,2.4994063250704843e-06
123,True,True,2000.0,1000.0,4.0,2.480350112418408e-06
124,True,True,2000.0,1000.0,5.0,2.4242710474060747e-06
125,True,True,2000.0,2000.0,1.0,1.098343438199004e-05
126,True,True,2000.0,2000.0,2.0,7.862336647385151e-07
127,True,True,2000.0,2000.0,3.0,8.260544790408034e-07
128,True,True,2000.0,2000.0,4.0,1.1851369704553716e-06
129,True,True,2000.0,2000.0,5.0,1.1977919835093442e-06
130,True,True,3000.0,250.0,1.0,1.2859430429814865e-05
131,True,True,3000.0,250.0,2.0,9.3487444277096e-07
132,True,True,3000.0,250.0,3.0,1.215750780991094e-06
133,True,True,3000.0,250.0,4.0,1.1398138766891198e-06
134,True,True,3000.0,250.0,5.0,1.2529544854649708e-06
135,True,True,3000.0,500.0,1.0,1.5095010347337902e-05
136,True,True,3000.0,500.0,2.0,6.726664169666528e-07
137,True,True,3000.0,500.0,3.0,6.925309371419898e-07
138,True,True,3000.0,500.0,4.0,5.690012089298259e-07
139,True,True,3000.0,500.0,5.0,6.536816937319103e-07
140,True,True,3000.0,750.0,1.0,1.5976442255140818e-05
141,True,True,3000.0,750.0,2.0,2.5939042105032375e-07
142,True,True,3000.0,750.0,3.0,1.6315716233598657e-07
143,True,True,3000.0,750.0,4.0,1.2802042701939662e-07
144,True,True,3000.0,750.0,5.0,1.5891502768025897e-07
145,True,True,3000.0,1000.0,1.0,1.3294705281534807e-05
146,True,True,3000.0,1000.0,2.0,2.150775933006087e-07
147,True,True,3000.0,1000.0,3.0,9.375777813773273e-08
148,True,True,3000.0,1000.0,4.0,5.007558906051208e-08
149,True,True,3000.0,1000.0,5.0,9.266163100587778e-08
150,True,True,3000.0,2000.0,1.0,1.86013705847641e-05
151,True,True,3000.0,2000.0,2.0,2.8443375650052255e-07
152,True,True,3000.0,2000.0,3.0,1.3531393411897404e-06
153,True,True,3000.0,2000.0,4.0,2.0281725621790176e-06
154,True,True,3000.0,2000.0,5.0,1.846408221619016e-06
